Title,Price,Location,Bedrooms,Bathrooms,Property_Type,URL,Toilets,Parking_Space
Luxury 5-Bedroom Fully Detached Smart Duplex with BQ,550000000,"Lekki,  Lagos",5.0,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3409075-luxury-5-bedroom-fully-detached-smart-duplex-with-bq,,
Massive 5 Bedroom Fully Detached Duplex with BQ & Pool,420000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/victoria-garden-city/3376089-massive-5-bedroom-fully-detached-duplex-with-bq-pool,,
Massive 5 Bedroom Fully Detached Duplex with BQ & Pool,420000000,"Lekki,  Lagos",5.0,5.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/victoria-garden-city/3376089-massive-5-bedroom-fully-detached-duplex-with-bq-pool,6.0,
Exclusive 2 Bedroom Apartment in a Secure Estate,140000000,"Ikate,  Lekki,  Lagos",,,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3369368-exclusive-2-bedroom-apartment-in-a-secure-estate,,
Exclusive 2 Bedroom Apartment in a Secure Estate,140000000,"Ikate,  Lekki,  Lagos",2.0,2.0,Flat / apartment for sale,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3369368-exclusive-2-bedroom-apartment-in-a-secure-estate,3.0,
Newly Built 4 Bedroom Semi Detached Duplex,210000000,"Maryland,  Lagos",,,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/maryland/anthony/3408647-newly-built-4-bedroom-semi-detached-duplex,,
Newly Built 4 Bedroom Semi Detached Duplex,210000000,"Maryland,  Lagos",4.0,4.0,Semi-detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/maryland/anthony/3408647-newly-built-4-bedroom-semi-detached-duplex,5.0,
4 Bedroom Detached Duplex + BQ,240000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3408435-4-bedroom-detached-duplex-bq,,
4 Bedroom Detached Duplex + BQ,240000000,"Lekki,  Lagos",4.0,2.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3408435-4-bedroom-detached-duplex-bq,5.0,
4 Bedroom Detached Duplex + BQ,24000000,"Lekki,  Lagos",,,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3408427-4-bedroom-detached-duplex-bq,,
4 Bedroom Detached Duplex + BQ,24000000,"Lekki,  Lagos",4.0,2.0,Detached duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/3408427-4-bedroom-detached-duplex-bq,5.0,
3 Bedroom Terrace Duplex + BQ,140000000,"Lekki,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3408242-3-bedroom-terrace-duplex-bq,,
3 Bedroom Terrace Duplex + BQ,140000000,"Lekki,  Lagos",3.0,3.0,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/3408242-3-bedroom-terrace-duplex-bq,4.0,
17units of Mini Flats with 2 Units of Room Self-Contain,270000000,"Lekki Ibeju,  Lagos",,,Block of flats for sale,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki-ibeju/awoyaya/3304241-17units-of-mini-flats-with-2-units-of-room-self-contain,,
17units of Mini Flats with 2 Units of Room Self-Contain,270000000,"Lekki Ibeju,  Lagos",,,Block of flats for sale,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki-ibeju/awoyaya/3304241-17units-of-mini-flats-with-2-units-of-room-self-contain,,12.0
Lovely 4 Bedroom Terrace Duplex on 2 Floors,200000000,"Lekki,  Lagos",,,Terraced duplex for sale,https://nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ologolo/3407886-lovely-4-bedroom-terrace-duplex-on-2-floors,,
