Unnamed: 0,Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL,Scraped_By,title,location,price,bedrooms,bathrooms,toilets,property_type,url
,,,,,,,,,data/Island_Luxury_Data.csv,New 4 Bedroom Apartment (no Bq) + Pool+ Elevator,"Off Banana Island Road, Ikoyi, Lagos","₦44,900,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3291846-new-4-bedroom-apartment-no-bq-pool-elevator
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 3 Bedroom Apartment + Bq + Pool+ Gym+ Tennis Court Etc,"Old Ikoyi, Ikoyi, Lagos","₦34,900,999 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3292444-premium-3-bedroom-apartment-bq-pool-gym-tennis-court-etc
,,,,,,,,,data/Island_Luxury_Data.csv,Luxury 5 Bedroom Semi Detached Terrace Styled House + Bq + Rooftop,"Banana Island, Ikoyi, Lagos","₦90,000,050 per annum",5.0,5.0,6.0,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3293179-luxury-5-bedroom-semi-detached-terrace-styled-house-bq-rooftop
,,,,,,,,,data/Island_Luxury_Data.csv,Newly Renovated 4 Bedroom Terrace Duplex Without A Bq,"Alagbon Close, Ikoyi, Lagos","₦25,000,000 per annum",4.0,4.0,5.0,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/2980378-newly-renovated-4-bedroom-terrace-duplex-without-a-bq
,,,,,,,,,data/Island_Luxury_Data.csv,Newly Built 4 Bedroom Maisonette,"Old Ikoyi, Ikoyi, Lagos","₦50,000,000 per annum",4.0,4.0,5.0,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3308704-newly-built-4-bedroom-maisonette
,,,,,,,,,data/Island_Luxury_Data.csv,"Brand New And Fully Serviced 4 Bedroom Terrace Duplex With Bq, Old Iko","Old Ikoyi, Old Ikoyi, Ikoyi, Lagos","₦50,000,000 per annum",4.0,4.0,5.0,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3308687-brand-new-and-fully-serviced-4-bedroom-terrace-duplex-with-bq-old-iko
,,,,,,,,,data/Island_Luxury_Data.csv,Premium 3 Bedroom Apartment +bq+pool+gym,"Banana Island Estate Ikoyi, Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3308684-premium-3-bedroom-apartment-bqpoolgym
,,,,,,,,,data/Island_Luxury_Data.csv,Partially Furnished And Serviced 2 Bedroom Flat With Swimming Pool,"In Parkview Estate, Ikoyi., Parkview, Ikoyi, Lagos","₦15,000,000 per annum",2.0,3.0,3.0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/3308682-partially-furnished-and-serviced-2-bedroom-flat-with-swimming-pool
,,,,,,,,,data/Island_Luxury_Data.csv,Newly Built 2 Bedroom Apartment,"Dolphin Estate, Ikoyi, Lagos","₦6,500,000 per annum",2.0,2.0,2.0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3281502-newly-built-2-bedroom-apartment
,,,,,,,,,data/Island_Luxury_Data.csv,150 Sqm Open Plan Office Space,"Awolowo Road, Ikoyi, Lagos","₦22,000,000 per annum",0.0,0.0,2.0,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/ikoyi/3300608-150-sqm-open-plan-office-space
,,,,,,,,,data/Island_Luxury_Data.csv,Exquisite 3 Bedroom Apartment With A Room Bq With Excellent Facilities,"Bella Vista Apartment, Banana Island, Ikoyi, Lagos","₦50,000,000 per annum",3.0,3.0,4.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3296617-exquisite-3-bedroom-apartment-with-a-room-bq-with-excellent-facilities
,,,,,,,,,data/Island_Luxury_Data.csv,2 Bedroom Apartment -- Fully Furnished & Fully Serviced,"Old Ikoyi, Ikoyi, Lagos","₦16,500,000 per annum",2.0,2.0,3.0,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3308503-2-bedroom-apartment-fully-furnished-fully-serviced
,,,,,,,,,data/Island_Luxury_Data.csv,An Exceptional 5-bedroom Terrace With Elevator & Lifestyle Amenities,"Banana Island, Ikoyi, Lagos","$100,000 per annum 
approx. ₦142,106,038",5.0,6.0,6.0,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3308386-an-exceptional-5-bedroom-terrace-with-elevator-lifestyle-amenities
,,,,,,,,,data/Island_Luxury_Data.csv,Newly Built 3-bedroom Maisonette With Elevator Access,"Ikoyi, Lagos","₦20,000,000",3.0,3.0,3.0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3308472-newly-built-3-bedroom-maisonette-with-elevator-access
,,,,,,,,,data/Island_Luxury_Data.csv,"Luxury, Spacious And Elegant Penthouse With Amazing Facilities","Ikoyi, Lagos","₦40,000,000 per annum",3.0,3.0,4.0,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/3307976-luxury-spacious-and-elegant-penthouse-with-amazing-facilities
