Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
Massive 2 Bedroom Flat,"Sangotedo, Ajah, Lagos","₦ 3,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/sangotedo/3299986-massive-2-bedroom-flat
Brand New Luxurious 4 Bedroom Terrace Duplex In A Serene Location,"General Paint, Ajah, Lagos","₦ 6,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/3299976-brand-new-luxurious-4-bedroom-terrace-duplex-in-a-serene-location
Brand New Furnished 3 Bedroom Terrace Duplex,"Sangotedo Blenco, Sangotedo, Ajah, Lagos","₦ 7,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/sangotedo/3299921-brand-new-furnished-3-bedroom-terrace-duplex
3 Bedroom Furnished  Terrace Duplex,"Sangotedo, Ajah, Lagos","₦ 7,000,000 per annum",3 Bedrooms,3 Bathrooms,4 Toilets,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ajah/sangotedo/3299911-3-bedroom-furnished-terrace-duplex
Fully Furnished 4 Bedroom Detached Duplex,"Lonex Garden Estate, Opic, Isheri North, Lagos","₦ 12,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/isheri-north/opic/3299907-fully-furnished-4-bedroom-detached-duplex
"Brand New 4 Bedroom Fully Detached Duplex With Bq, Swimming Pool","Ajah, Lagos","₦ 12,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/3103837-brand-new-4-bedroom-fully-detached-duplex-with-bq-swimming-pool
Lovely 4 Bedroom Semi Detached Duplex With Bq In A Secure Estate,"Abraham Adesanya, Ajah, Lagos","₦ 10,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ajah/3291696-lovely-4-bedroom-semi-detached-duplex-with-bq-in-a-secure-estate
An Executive Brand New Two Bedroom Flat,"Thera Estate Sangotedo Besides Blenco Mall Ajah, Lekki, Lagos","₦ 2,500,000 per annum",2 Bedrooms,,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/3299791-an-executive-brand-new-two-bedroom-flat
Spacious Luxury 1 Bedroom Flat With Excellent Features,"Theranex Road, Ogombo, Ajah, Lagos","₦ 1,700,000 per annum",1 Bedroom,1 Bathroom,1 Toilet,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/ogombo/3299742-spacious-luxury-1-bedroom-flat-with-excellent-features
A Magnificent 4 Bedroom Detached Duplex,"Pepperoni Abraham Adesunya, Ajah, Lekki Phase 2, Lekki, Lagos","₦ 6,000,000 per annum",4 Bedrooms,5 Bathrooms,5 Toilets,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-2/3299677-a-magnificent-4-bedroom-detached-duplex
Luxury Semi Furnished 4 Bedroom Duplex Inside Decent Estate,"Abraham Adesanya, Ajah, Lagos","₦ 10,000,000 per annum",4 Bedrooms,4 Bathrooms,5 Toilets,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/3284690-luxury-semi-furnished-4-bedroom-duplex-inside-decent-estate
Standard Luxury 2 Bedroom Flat,"Urban Prime Estate Abraham Adesanya, Ajah, Lagos","₦ 5,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3299606-standard-luxury-2-bedroom-flat
Spacious 4 Bedroom Detached Duplex,"Crown Estate, Sangotedo, Ajah, Lagos","₦ 8,000,000 per annum",4 Bedrooms,,,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ajah/sangotedo/3254213-spacious-4-bedroom-detached-duplex
Standard Self Contain,"Okun Ajah, Opposite Country Beach, Ajah, Lagos","₦ 400,000 per annum",1 Bathroom,1 Toilet,Save,Self contain (single rooms) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/self-contained/lagos/ajah/2296306-standard-self-contain
Sharp Room And Parlor With A Pop Design(upstairs),"Lamgbasa, Ajah, Lagos","₦ 1,300,000 per annum",1 Bedroom,1 Bathroom,1 Toilet,1 bedroom mini flat (room and parlour) for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/mini-flats/lagos/ajah/3299374-sharp-room-and-parlor-with-a-pop-designupstairs
Luxurious And Standard 2 Bedroom Duplex With A Bq(self Compound),"Lamgbasa, Ajah, Lagos","₦ 4,000,000 per annum",2 Bedrooms,2 Bathrooms,3 Toilets,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ajah/3299356-luxurious-and-standard-2-bedroom-duplex-with-a-bqself-compound
